#{"t_start": 1767464148.2993596, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
90.0,1529,1743.133625
425.0,3133,1746.430038
690.0,4107,1750.775777
405.0,2865,1753.785678
260.0,2231,1756.159733
105.0,1503,1757.738333
310.0,2417,1760.349082
230.0,2713,1763.235212
470.0,3343,1766.774157
405.0,3681,1770.693
400.0,3231,1774.120399
405.0,4073,1778.439353
295.0,2257,1780.819691
240.0,1865,1782.787474
380.0,3399,1786.396978
110.0,1915,1788.43114
390.0,2463,1791.037384
445.0,4227,1795.505781
325.0,2973,1798.649919
350.0,2623,1801.465246
360.0,3481,1805.146204
280.0,2325,1807.602943
270.0,2251,1809.977043
690.0,4871,1815.259061
570.0,4491,1820.33672
355.0,3219,1823.63399
145.0,2617,1826.352517
330.0,2455,1828.891184
90.0,1521,1830.433439
60.0,1819,1838.684691
130.0,1869,1840.621441
300.0,2903,1843.627696
180.0,2119,1845.788947
220.0,2215,1847.986087
405.0,3387,1851.394548
450.0,2589,1854.004513
525.0,4353,1858.295948
410.0,3603,1861.782184
220.0,2403,1864.116106
275.0,2545,1866.604296
250.0,2257,1868.795019
185.0,1505,1870.255019
120.0,1417,1871.641152
435.0,3645,1875.201338
400.0,3243,1878.352149
335.0,3057,1881.32191
245.0,2593,1883.861667
380.0,3611,1887.407426
295.0,2077,1889.422252
215.0,2115,1891.452643
315.0,2025,1893.555984
340.0,2687,1896.314781
195.0,2211,1898.573446
115.0,1731,1900.340023
805.0,4267,1904.737705
345.0,3717,1908.545207
470.0,3351,1911.902204
395.0,3099,1915.075814
490.0,3393,1918.759443
575.0,4486,1923.694754
155.0,2397,1926.147735
250.0,2593,1928.773826
220.0,2081,1930.884349
55.0,1481,1932.3975
335.0,2509,1934.951835
460.0,2467,1937.483687
340.0,2757,1945.945667
330.0,3163,1949.207473
200.0,2071,1951.317161
370.0,3199,1954.470572
600.0,4621,1959.052813
345.0,3007,1962.072579
490.0,3117,1965.145957
225.0,2251,1967.314882
355.0,3749,1971.015595
745.0,4021,1974.922691
435.0,3119,1977.950716
365.0,3761,1981.609174
555.0,4267,1985.736623
405.0,3223,1988.857051
100.0,1093,1989.907052
100.0,2049,1991.923368
295.0,2687,1994.503386
210.0,2229,1996.658211
430.0,3895,2000.419244
410.0,3261,2003.575004
500.0,4621,2008.027583
335.0,2761,2010.721127
525.0,3967,2014.551976
375.0,2377,2016.851739
175.0,1985,2018.770378
175.0,1749,2020.464387
215.0,2209,2022.607451
595.0,3059,2025.550148
335.0,2427,2027.904757
570.0,4039,2031.812292
335.0,3405,2035.102071
370.0,3237,2038.24927
280.0,3166,2041.308336
185.0,2119,2043.350904
440.0,2809,2054.638926
305.0,2833,2057.364886
300.0,2619,2059.894273
630.0,4503,2064.210601
410.0,2777,2066.985043
350.0,2849,2069.758703
525.0,2889,2072.54817
435.0,2561,2075.046163
375.0,3129,2078.082534
225.0,1867,2079.884823
265.0,2399,2082.201705
405.0,2655,2084.779696
125.0,1751,2086.456376
515.0,4211,2090.525654
380.0,3955,2094.362596
305.0,2591,2096.877015
260.0,2915,2099.701553
310.0,2425,2102.036807
405.0,2303,2104.26408
425.0,3500,2107.655774
475.0,3639,2111.168956
280.0,2667,2113.761975
635.0,3941,2117.561813
375.0,2855,2120.296107
415.0,3591,2123.779699
395.0,3217,2126.936592
595.0,2935,2129.772095
415.0,3841,2133.470517
175.0,1949,2135.347247
525.0,3959,2139.184634
500.0,4143,2143.165435
490.0,4533,2147.556908
440.0,2863,2150.322332
450.0,3773,2160.315372
580.0,4077,2164.540229
450.0,2925,2167.615872
555.0,4095,2171.912339
445.0,2981,2175.064566
570.0,3843,2179.114969
470.0,3395,2182.659112
540.0,2779,2185.614349
590.0,3119,2188.937808
380.0,3237,2192.352754
300.0,2833,2195.368453
775.0,4285,2199.900392
360.0,3113,2203.129843
170.0,1915,2205.118845
650.0,3233,2208.535551
50.0,1137,2209.701252
440.0,3385,2213.366974
485.0,2817,2216.483772
260.0,2363,2219.037777
